,obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
90004,1.2376576284493745e+18,163.063860446003,49.6957075370419,16.52681,15.40873,14.92917,14.68397,14.47564,2830,301,2,327,9.863345426609213e+17,GALAXY,0.0227975,876,52669,168
11936,1.2376611379603046e+18,154.53524341661,38.2408189564447,19.05296,17.29929,16.43757,16.05219,15.75137,3647,301,3,110,1.606713918032472e+18,GALAXY,0.05498318,1427,52996,199
71228,1.237659324948677e+18,230.106867160183,49.9525407171488,26.39053,21.11339,19.70143,18.93754,18.42735,3225,301,2,132,7.567261617039366e+18,GALAXY,0.3183419,6721,56398,321
95034,1.2376623035174095e+18,239.172604597622,38.8203040328713,17.72121,16.03901,15.23752,14.83261,14.5207,3918,301,6,268,5.845756255860447e+18,GALAXY,0.07741248,5192,56066,305
82014,1.2376687352142244e+18,255.624955769967,44.1957134798407,25.51679,22.33933,20.47364,19.52336,19.06577,5416,301,2,13,6.825345250325977e+18,GALAXY,0.5319211,6062,56091,509
68868,1.2376575962243402e+18,123.994991220193,38.9363509019441,22.4729,19.24228,17.49104,16.66388,16.19183,2822,301,6,132,8.545734602722118e+17,STAR,-2.440908e-05,759,52254,56
11763,1.237655107305603e+18,191.209010229897,59.1239734253686,18.03007,16.59543,16.08523,15.89973,15.83372,2243,301,2,358,2.7540331624420086e+18,STAR,8.028783e-05,2446,54571,298
51902,1.2376709648492142e+18,141.439034811835,14.4919838966434,26.2332,23.19806,21.55325,21.5927,22.43971,5935,301,3,167,1.0787266104613163e+19,GALAXY,0.856513,9581,57783,69
86035,1.237663783140983e+18,39.6010415322202,-0.742748011003746,22.83613,22.72674,22.87718,22.84512,21.8775,4263,301,2,380,8.259684291640055e+18,QSO,2.543688,7336,56656,300
98741,1.237679318018491e+18,6.77197509578605,9.47188811885819,23.21514,22.64002,20.64883,19.6506,19.35379,7880,301,2,87,5.111725588286298e+18,GALAXY,0.5433571,4540,55863,509
21993,1.2376651269423104e+18,209.270342984695,31.3768442329782,18.89774,18.53554,18.33992,18.42625,17.94624,4576,301,1,585,2.3881143117687296e+18,QSO,0.3627614,2121,54180,293
95056,1.2376803026358113e+18,326.916165472318,22.4891136289268,19.36388,17.73884,16.77011,16.27908,15.95203,8109,301,4,27,6.702571308084124e+18,GALAXY,0.1314579,5953,56092,324
83512,1.237666464266322e+18,118.905238426989,66.1163953622485,19.4881,18.31827,17.75726,17.53794,17.41992,4887,301,4,258,3.3148132288605983e+18,STAR,0.0001047217,2944,54523,596
19859,1.2376625300640243e+18,209.291433883524,13.7798139228368,22.45637,21.21087,19.3451,18.55591,18.1922,3971,301,4,71,6.134078440343886e+18,GALAXY,0.4484618,5448,56013,639
49882,1.237662301904306e+18,232.376433369855,41.3412333058195,18.1317,17.19173,16.78823,16.62793,16.54362,3918,301,3,230,9.588232464058569e+18,STAR,-0.0008021963,8516,58220,250
37417,1.2376634792598572e+18,335.799647612734,0.0714909272959401,20.06664,17.90142,16.69972,16.17259,15.78,4192,301,4,194,1.2419102515239588e+18,GALAXY,0.1317114,1103,52873,155
43558,1.2376634577773537e+18,319.149386625673,0.116013896874027,20.45983,18.91719,18.0749,17.68172,17.37695,4187,301,4,77,1.714898989268101e+18,GALAXY,0.1609183,1523,52937,558
51943,1.237680241990304e+18,6.9883975607231,-7.85003922477646,21.5676,20.93112,20.70232,20.81864,20.59332,8095,301,3,346,8.052570935650441e+18,STAR,-0.0004890046,7152,56660,490
81052,1.2376613843826117e+18,144.019640690975,35.7845858346583,23.23559,21.2461,19.38604,18.56261,18.15439,3704,301,6,88,1.7947738370243564e+18,GALAXY,0.4560207,1594,52992,325
13043,1.2376654410014395e+18,248.154222535485,13.9039129440697,26.27647,20.59757,19.0571,17.07884,16.01402,4649,301,2,427,2.480516439887341e+18,STAR,-0.0001714434,2203,53915,578
88761,1.23765150595285e+18,200.754587581342,1.21256668501241,19.46086,17.69675,16.83846,16.43828,16.13466,1404,301,6,12,3.344841144197714e+17,GALAXY,0.1110587,297,51959,334
17215,1.2376582061232622e+18,189.193835265054,51.1083698789441,21.38845,19.37186,18.51937,18.19575,18.025,2964,301,6,339,9.263033744897628e+18,STAR,-0.0002646767,8227,57427,928
86820,1.2376554954451845e+18,209.158853244607,-1.77261107483599,19.34083,18.24625,17.73219,17.32996,17.17514,2333,301,5,82,1.029222918720088e+18,GALAXY,0.0882391,914,52721,547
84342,1.237663783144e+18,46.4092813618152,-0.73406758182181,24.53204,22.49449,20.8138,18.9648,17.79764,4263,301,2,426,1.201347613996116e+18,STAR,2.270607e-06,1067,52616,45
79120,1.2376529399397752e+18,316.309992228555,10.7520022083497,20.93444,18.51394,17.73477,17.36026,17.2667,1738,301,5,84,8.186631348426117e+17,STAR,-0.000293804,727,52207,487
51448,1.2376544007661816e+18,181.705242774009,65.9173727924677,22.3033,21.58766,20.58022,19.68934,19.53492,2078,301,6,94,7.853333107512203e+18,QSO,0.1928417,6975,56720,659
65150,1.237655126083502e+18,185.698384642559,5.60674232183696,17.01561,15.84565,15.40305,15.17305,15.03054,2247,301,5,166,3.2427053319308186e+18,GALAXY,0.0179978,2880,54509,413
54656,1.237654400772604e+18,215.331814905158,62.7511297892656,25.35766,19.91501,18.37071,17.85143,17.49725,2078,301,6,192,8.012116054926185e+18,GALAXY,0.2630474,7116,56681,772
19319,1.2376576134155476e+18,187.913789491951,58.6843164810105,26.71058,25.39609,21.90431,20.77419,19.84415,2826,301,6,305,9.272914793937e+18,QSO,1.577817,8236,58197,11
75441,1.2376785986326367e+18,12.0492795874469,3.55099634105602,21.27679,21.45053,21.24651,20.69808,20.31624,7712,301,6,410,1.0619616425219e+19,GALAXY,0.9842416,9432,58100,467
47162,1.2376728154386606e+18,346.243993403778,22.8337263578933,24.2712,24.14968,23.29132,21.36934,19.82487,6366,301,2,97,8.572687500321249e+18,STAR,-0.0001183719,7614,57307,311
44771,1.2376727639006922e+18,342.095872157505,29.9034550092766,22.41284,24.22349,22.42639,20.69351,19.70449,6354,301,2,122,8.746139874124649e+18,GALAXY,0.7646133,7768,58289,543
95857,1.2376682719023598e+18,211.790044046462,17.9080958974788,19.46892,18.43715,17.76692,17.34679,17.10674,5308,301,3,131,3.104111891249654e+18,GALAXY,0.1528704,2757,54509,21
42588,1.237652946914575e+18,358.990171777264,-10.3987108831527,22.02006,22.12051,21.1011,20.2182,19.89502,1740,301,2,15,8.068229904402242e+18,GALAXY,0.575837,7166,56602,113
183,1.237680272037839e+18,336.845899113747,19.9881605784729,22.24721,19.30773,17.92509,17.39431,17.07972,8102,301,3,83,6.888356339212638e+18,GALAXY,0.2128639,6118,56189,366
11902,1.2376785975432975e+18,336.392345876521,2.45137282274874,21.0781,20.93019,21.01107,20.84694,20.99393,7712,301,4,172,1.2770014334241e+19,QSO,2.00154,11342,58425,209
7574,1.2376654415248753e+18,217.863292164301,25.5202054240194,21.03379,18.84258,17.66296,17.21647,16.78506,4649,301,3,222,2.403933529391e+18,GALAXY,0.173883,2135,53827,499
55927,1.2376570700913055e+18,40.9867454595997,-0.60654467855928,22.95724,22.23883,21.82833,21.27864,20.74012,2700,301,2,139,1.0550905744123e+19,GALAXY,0.7946768,9371,58073,355
18707,1.2376637852844687e+18,30.3935612004994,0.981268359103976,21.95395,20.47685,19.93081,19.68456,19.57636,4263,301,6,319,3.226979841232365e+18,STAR,-0.0002710485,2866,54478,548
97756,1.2376613886735163e+18,194.064473804595,58.3240633386715,23.08314,21.98173,20.60871,20.16305,19.8351,3705,301,6,26,9.247100464805468e+18,GALAXY,0.3953126,8213,58487,307
97670,1.237657858213413e+18,154.455258962832,49.4662423686539,22.85303,21.19541,20.07078,19.36295,18.94275,2883,301,6,72,7.496405242944444e+18,GALAXY,0.5420483,6658,56606,595
84222,1.2376792552062328e+18,29.6081801035254,-3.75361576315505,27.02745,21.83872,21.70066,21.34343,20.7768,7865,301,5,112,1.050038950102908e+19,GALAXY,0.7782,9326,57716,898
88216,1.2376637831270897e+18,7.84711435892318,-0.69027121119437,22.5841,21.73591,21.34783,21.34262,21.16142,4263,301,2,168,4.037559616233822e+18,STAR,-0.0005088443,3586,55181,300
1128,1.2376674317125555e+18,159.965243592181,26.3227391774474,23.17147,21.96782,21.91091,21.84474,21.4823,5112,301,6,332,7.249900504272361e+18,QSO,1.965725,6439,56358,840
50920,1.2376508037300227e+18,150.089004773085,-2.74281911781388,26.11633,22.27844,20.00296,19.00808,18.82069,1241,301,2,78,4.2593715196990807e+18,GALAXY,0.5266703,3783,55246,335
12940,1.2376727944960415e+18,0.607042117589515,-4.50970372370553,21.40419,20.79039,20.75715,20.79087,20.55219,6361,301,3,26,7.919803255718435e+18,QSO,3.162581,7034,56564,812
80194,1.237660963473e+18,129.725627348412,31.0799521044071,24.65112,24.5558,21.43679,20.19353,19.35602,3606,301,6,45,1.2006830119916427e+19,STAR,0.002189662,10664,58464,849
86996,1.2376792552058396e+18,28.7547799190097,-3.90594403414726,22.87636,22.41919,22.38554,21.72851,21.22298,7865,301,5,106,1.049903051012652e+19,QSO,1.653668,9325,58042,50
30703,1.2376794345226895e+18,9.64081953691829,-2.73629258632162,22.232,19.2227,17.75797,17.1615,16.72711,7907,301,3,136,4.91915354778084e+18,GALAXY,0.2395683,4369,55827,352
10033,1.2376637852784397e+18,16.7432066776588,0.98461450420336,20.09618,19.99435,19.81016,19.87934,19.86096,4263,301,6,227,4.75824826148745e+18,QSO,1.012992,4226,55475,710
39873,1.237673706650797e+18,111.411417603214,41.4850396092025,22.05588,22.00492,21.84444,21.80051,21.42836,6573,301,6,195,1.199772148566408e+19,QSO,1.906325,10656,58163,480
67128,1.2376582045204483e+18,214.847093055244,45.7334034437119,21.65474,21.45502,21.39436,21.46989,21.16152,2964,301,3,458,7.600983913037847e+18,QSO,2.190524,6751,56368,122
43081,1.2376613870725368e+18,228.160636732617,48.8205248948548,21.60643,21.76075,21.34752,21.47388,21.17648,3705,301,3,173,9.49265355514186e+18,QSO,1.217169,8431,57482,696
73463,1.2376719387253148e+18,233.828013418965,58.7668781016766,20.64145,18.71103,17.65282,17.18983,16.82658,6162,301,1,49,6.925683949390008e+17,GALAXY,0.1439632,615,52347,509
15703,1.2376727644376276e+18,342.669971139892,30.0134052438491,22.89548,20.98024,19.10501,18.39444,17.92565,6354,301,3,123,7.086651616930321e+18,GALAXY,0.3679861,6294,56482,864
37947,1.2376677350371492e+18,163.849200385993,21.0755307765399,19.80658,17.90575,16.99644,16.57313,16.28789,5183,301,3,218,2.7968737017090806e+18,GALAXY,0.07834531,2484,54144,503
8980,1.2376625241597542e+18,195.634511804766,13.6025777544695,22.61347,20.87096,20.65374,20.65347,21.07185,3970,301,1,91,6.102501565838678e+18,QSO,2.931366,5420,56009,451
46752,1.2376593260329047e+18,253.456416417327,33.1057561981323,19.08402,17.51369,16.89846,16.66822,16.53651,3225,301,4,292,3.8922489808343286e+18,STAR,-0.0008186743,3457,54984,47
51038,1.237667782291751e+18,169.936832929109,21.4509965871417,22.98476,20.54235,18.78404,18.16602,17.87248,5194,301,3,370,7.238420501957466e+18,GALAXY,0.4102176,6429,56274,36
15240,1.237661386536125e+18,229.005037889462,47.8871760624237,22.93462,20.70447,20.12994,19.8724,19.85595,3705,301,2,180,7.582019536783957e+18,QSO,3.043704,6734,56386,762
48166,1.237660958103045e+18,114.369733525467,18.7614708737622,22.41681,20.15145,18.62461,18.00498,17.52016,3605,301,4,26,5.0531378314234e+18,GALAXY,0.2967685,4488,55571,360
78084,1.237667781218861e+18,172.005931586857,20.8606663708298,20.62565,18.75591,17.5819,17.08436,16.70708,5194,301,1,383,2.814805087661091e+18,GALAXY,0.1652322,2500,54178,201
19492,1.237680263462978e+18,358.966504836435,-7.54545645803358,24.21996,21.42706,19.66302,18.94837,18.49767,8100,301,3,313,8.046926591266413e+18,GALAXY,0.3913932,7147,56574,436
42311,1.237667549273326e+18,169.718041400921,23.2056341652713,22.66953,21.50544,19.46514,18.7061,18.24525,5140,301,1,119,7.228363819357329e+18,GALAXY,0.4283599,6420,56304,314
7860,1.2376593265672192e+18,249.306695451452,37.9253467895429,24.63465,23.20077,20.91695,18.82018,19.81396,3225,301,5,253,1.2078776659656071e+19,STAR,-4.792263e-05,10728,58248,445
21415,1.2376549483759537e+18,236.704288326086,55.2870378409773,22.21748,19.89947,18.31802,17.77321,17.44521,2206,301,2,116,7.552806063697058e+18,GALAXY,0.3010794,6708,56452,980
92275,1.237680531356124e+18,356.974822726254,30.9032321158811,25.5669,24.29859,21.67963,20.64842,19.9799,8162,301,6,230,8.728165054393112e+18,GALAXY,0.7076499,7752,58072,687
9720,1.2376655376192635e+18,249.10334059819,16.8898822673403,24.89094,22.71215,20.01848,19.01341,18.6046,4671,301,6,138,4.574719153106344e+18,GALAXY,0.4722779,4063,55364,683
12917,1.23766136075885e+18,194.725572793777,46.3468046857666,23.16228,21.73165,20.97474,20.6426,20.51135,3699,301,2,66,8.351067178553071e+18,GALAXY,0.2328524,7417,56753,973
16123,1.2376583000632855e+18,140.905725821266,5.90448506648791,22.34998,19.86415,18.15337,17.53321,17.12599,2986,301,5,150,1.1158932969341848e+18,GALAXY,0.331149,991,52707,460
24858,1.2376551244674499e+18,173.185986839494,4.13626400471588,17.707,15.95564,15.12572,14.67627,14.29443,2247,301,2,83,5.368332636992592e+18,GALAXY,0.06206226,4768,55944,152
67877,1.237659324958049e+18,250.711932968448,34.6959179640556,23.77348,21.30093,19.59414,18.65453,18.16788,3225,301,2,275,5.851380253843544e+18,GALAXY,0.5133687,5197,55828,285
65032,1.237664669511909e+18,163.145155143555,38.617546201669,19.79956,18.36476,17.52523,17.1312,16.85444,4469,301,5,335,2.259810638811392e+18,GALAXY,0.1446257,2007,53474,471
59719,1.237665026510881e+18,171.517223967446,35.3432578258648,18.46008,16.42602,15.43156,15.01701,14.68484,4552,301,6,27,2.3790944561848914e+18,GALAXY,0.1069575,2113,53468,247
42774,1.237664853113308e+18,230.249300381448,28.2902404947205,25.11724,22.09547,20.377,19.19413,18.64038,4512,301,3,206,4.3360613571643535e+18,GALAXY,0.5917769,3851,55302,803
96808,1.237655109444305e+18,152.854621265218,56.7685462726232,18.41507,17.2726,16.82524,16.52581,16.2928,2243,301,6,224,1.0652206492675215e+18,GALAXY,0.04633698,946,52407,434
26635,1.2376648692153715e+18,147.710912526721,31.247285361918,22.21481,21.995,22.01499,21.38157,22.07995,4516,301,1,144,1.1763498021073211e+19,GALAXY,0.9787748,10448,58158,348
34506,1.2376648536412654e+18,207.678549670685,35.5510523102795,22.35883,21.61465,21.02951,20.15378,20.77386,4512,301,4,70,4.3382922656866857e+18,GALAXY,0.7738339,3853,55268,727
47228,1.237655691943674e+18,230.034794782379,-2.07093019214397,20.46063,19.16177,18.27562,17.79976,17.47833,2379,301,3,139,1.0403923023563592e+18,GALAXY,0.1339288,924,52409,221
23852,1.237655124470661e+18,180.595666888876,4.32982158704383,15.2654,13.78961,13.04331,12.65683,12.36843,2247,301,2,132,9.469109985586975e+17,GALAXY,0.02142312,841,52375,106
98586,1.2376613612991939e+18,205.923141885295,45.2430500765458,19.74761,18.1178,17.24253,16.79179,16.46951,3699,301,3,119,1.6494901444760307e+18,GALAXY,0.09339812,1465,53082,170
24029,1.237654392173954e+18,114.319865108335,34.6188920381598,24.29489,21.75914,20.07849,19.27214,18.89495,2076,301,6,59,4.999071270735993e+18,GALAXY,0.4937629,4440,55539,275
17070,1.2376503720955087e+18,186.811335902462,-1.28822462992103,21.13047,20.31622,20.08687,20.00548,19.64249,1140,301,6,226,4.26960439897046e+18,STAR,0.0006882549,3792,55212,698
73501,1.2376648176786476e+18,187.968336624429,36.4188424711479,20.22583,18.54804,17.65446,17.20752,16.88782,4504,301,1,188,2.2631806423028467e+18,GALAXY,0.1935754,2010,53495,443
33203,1.2376503710247816e+18,193.578742054666,-2.18205043807055,22.68507,20.69941,20.31017,20.15354,20.13052,1140,301,4,272,4.2548044228725535e+18,QSO,3.020389,3779,55222,104
62267,1.2376793234023388e+18,44.4682717608602,-3.73077908532528,25.76393,22.03803,20.34787,19.45609,19.23644,7881,301,4,318,7.942356713289832e+18,GALAXY,0.4676928,7054,56575,941
28737,1.2376655306389596e+18,215.740206893305,23.1835592744203,22.4118,22.02337,20.53448,19.26738,18.74949,4670,301,1,123,6.771294907653183e+18,GALAXY,0.5649751,6014,56072,483
54808,1.2376788772514696e+18,333.259251608675,11.3105279362178,21.11327,19.06167,17.70781,17.14225,16.728,7777,301,5,148,5.701561899558394e+18,GALAXY,0.2083498,5064,55864,17
15774,1.2376613865367145e+18,230.621581986597,47.1195677336321,21.01759,20.51323,20.25271,19.88659,19.57988,3705,301,2,189,7.581818326156074e+18,QSO,0.4993474,6734,56386,30
77407,1.237679255202366e+18,20.7697695772913,-4.11474404617991,23.30153,22.45657,21.85496,21.37175,20.91982,7865,301,5,53,1.050805090409122e+19,GALAXY,0.9790374,9333,58076,98
12385,1.237661360759112e+18,195.49375938919,46.2089784155775,22.23558,21.50197,21.56325,21.07584,20.88425,3699,301,2,70,8.346350823694163e+18,QSO,1.552848,7413,56769,199
81818,1.2376648718952696e+18,136.17374229692,35.3235210365035,21.31257,18.94068,17.66741,17.18044,16.84071,4516,301,6,76,1.3646608263083725e+18,GALAXY,0.1910297,1212,52703,255
25298,1.2376650254399572e+18,179.376496909598,35.1932307613476,21.41692,20.61619,20.58023,20.26766,20.54854,4552,301,4,70,5.232275214461852e+18,GALAXY,0.06777173,4647,55621,794
88827,1.2376626621349893e+18,220.101271557998,33.8207516434707,19.5595,18.30253,17.65349,17.25809,17.00201,4002,301,2,82,1.8533151431113047e+18,GALAXY,0.08587382,1646,53498,305
40044,1.2376697026582285e+18,8.52570681242844,7.820446368435,23.14535,21.71791,19.90092,19.03734,18.4264,5641,301,4,53,5.112868256064232e+18,GALAXY,0.4800849,4541,55882,570
46135,1.2376512504152724e+18,140.818895458421,56.358068722534,25.22596,22.38325,20.76221,19.74063,19.31548,1345,301,2,210,6.445994781126711e+18,GALAXY,0.6022378,5725,56625,792
67480,1.2376677350600215e+18,219.700965090306,18.6295670159605,21.43962,20.88049,20.61909,20.56596,20.6035,5183,301,3,567,6.641721584917961e+18,STAR,6.678308e-05,5899,56038,138
23311,1.2376785975588948e+18,12.1150696350505,2.7050589440006,20.53954,20.3083,20.00545,20.0079,20.17703,7712,301,4,410,4.848324653910088e+18,QSO,1.078074,4306,55584,726
68254,1.2376609629407153e+18,140.543281963024,36.3292835058571,23.11913,19.87128,18.3504,17.77164,17.42937,3606,301,5,115,5.228935452942424e+18,GALAXY,0.2533429,4644,55922,932
38032,1.2376764414603438e+18,5.88945808066228,32.7873576324404,24.77995,24.0725,21.72471,20.42225,19.71318,7210,301,4,29,8.718984137737e+18,GALAXY,0.5981084,7744,58396,55
69373,1.237658298451952e+18,139.43426295691,4.5994032288674,22.37229,21.79623,21.44536,21.47458,21.25915,2986,301,2,139,5.398777563287149e+18,QSO,2.189421,4795,55889,318
3103,1.2376637826006387e+18,31.7017413132401,-1.16847078672156,19.77981,18.7801,18.46573,18.04173,18.42504,4263,301,1,327,1.2092542074969395e+18,GALAXY,0.0275539,1074,52937,137
36086,1.2376651011366592e+18,212.548634305102,30.7971081612521,22.92863,23.39146,21.20227,20.02261,19.53604,4570,301,1,38,4.352853653885049e+18,GALAXY,0.6092059,3866,55623,453
72710,1.2376785986214303e+18,346.489800294294,3.58030056061375,24.26167,24.16424,21.88777,20.73442,19.79538,7712,301,6,239,1.272630050075e+19,GALAXY,0.796843,11303,58428,923
56552,1.2376503715614559e+18,193.162333597514,-1.70175153297564,19.82481,17.89587,16.7866,16.31426,15.95186,1140,301,5,269,3.79572063255423e+17,GALAXY,0.1699819,337,51997,523
68582,1.237665126933529e+18,185.506864526585,33.8333245492034,23.05441,23.84752,21.25685,20.01711,19.30018,4576,301,1,451,1.1536010439894e+19,GALAXY,0.6667391,10246,58171,145
12996,1.2376682971408635e+18,210.305624142223,17.4456712584028,22.68673,21.46051,20.43863,19.49065,18.79165,5314,301,2,216,6.135240624419658e+18,GALAXY,0.6187216,5449,56030,771
43594,1.2376554745061706e+18,251.462478967666,39.1586855608978,20.64332,19.69718,19.41441,19.37871,19.34221,2328,301,6,66,5.847046807633549e+18,STAR,-0.0008476865,5193,56066,904
13381,1.237680263463043e+18,359.100553229812,-7.59906040217138,21.85084,21.92388,20.40786,19.57015,19.21228,8100,301,3,314,8.046916420783855e+18,GALAXY,0.5806667,7147,56574,399
48781,1.2376593249575903e+18,249.855927220905,35.3858261185026,23.89431,21.63352,20.28958,19.40219,18.98286,3225,301,2,268,5.851418736750516e+18,STAR,1.363929e-05,5197,55828,425
37940,1.2376634792562527e+18,327.556206974949,0.176280275349732,18.45037,17.15076,16.64032,16.34136,16.15754,4192,301,4,139,4.1783726828423776e+17,GALAXY,0.02774078,371,52078,467
67400,1.2376788895956344e+18,28.0968528555696,-2.19809200303493,23.41553,22.09273,21.22028,20.61369,20.05547,7780,301,4,89,1.0499245739527655e+19,GALAXY,0.7121977,9325,58042,833
25415,1.2376677817702815e+18,207.666075256287,20.0879480088926,24.13565,22.634,20.90904,19.70166,19.42311,5194,301,2,605,6.608000388364e+18,GALAXY,0.5994436,5869,56064,341
1662,1.237678595946447e+18,7.92234217288984,1.45221142387759,24.66665,20.6735,19.71057,19.66529,19.73306,7712,301,1,382,4.843686912974936e+18,QSO,3.720053,4302,55531,238
6009,1.2376637825923812e+18,12.8512044297115,-1.24066321068913,25.13885,21.94856,20.82912,19.80111,19.49077,4263,301,1,201,4.921480389313452e+18,GALAXY,0.4303316,4371,55830,625
38763,1.2376794334499315e+18,11.9662296570375,-3.67933162835155,22.83581,23.27967,21.80661,21.45508,21.15517,7907,301,1,151,1.0513819216431569e+19,GALAXY,0.0,9338,58044,603
60237,1.2376637836702523e+18,22.2934994877509,-0.306796876319861,21.87686,21.99032,20.70807,19.79862,19.54849,4263,301,3,264,4.761482750254668e+18,GALAXY,0.6491746,4229,55501,189
57910,1.2376709621666289e+18,44.3996205556155,37.9521464920009,19.68007,18.74233,18.40689,18.27608,18.18355,5934,301,6,194,2.750671397436025e+18,STAR,0.0004575963,2443,54082,356
74444,1.237655692477334e+18,222.706612520754,-1.90876101722805,21.60263,20.78611,20.63453,20.65427,20.5054,2379,301,4,90,4.529561385315883e+18,QSO,2.57841,4023,55328,240
78567,1.2376696811837197e+18,350.354679350334,7.63072413565454,23.30038,21.90454,21.62345,21.53777,21.41237,5636,301,4,58,6.945889384714754e+18,STAR,-0.0006312678,6169,56193,774
58978,1.2376551250200497e+18,209.229960724885,4.34697324253333,24.4663,20.38774,18.67048,18.07779,17.713,2247,301,3,323,5.386404205627202e+18,GALAXY,0.3553686,4784,55677,360
63425,1.237680331639686e+18,358.793200328296,29.116251081882,23.15787,21.39216,20.73824,20.43506,20.35523,8116,301,2,223,8.665122074317314e+18,STAR,-0.0006589732,7696,57655,714
99523,1.2376576278952678e+18,120.305066457495,27.611522601062,21.24499,18.47175,17.27289,16.81279,16.59163,2830,301,1,64,5.013659865824123e+18,STAR,1.924841e-05,4453,55535,100
52003,1.2376675417521528e+18,146.521832724985,19.8968506837513,24.17061,22.57693,20.77272,19.76397,19.51136,5138,301,3,43,6.511298889668385e+18,QSO,0.5006623,5783,56017,799
46968,1.2376556919415114e+18,225.075235115214,-2.17753364604907,19.81126,18.94559,18.21263,17.84692,17.52228,2379,301,3,106,1.0381655167174184e+18,GALAXY,0.2467272,922,52426,312
35581,1.2376609575671565e+18,116.471518576641,20.0568892349694,20.95168,19.71258,19.3011,18.71136,22.8269,3605,301,3,41,1.2477278985464863e+19,STAR,0.0001570029,11082,58508,204
87983,1.2376802725751035e+18,337.633534597465,20.533290549848,22.92285,22.31808,21.2829,20.02352,19.38997,8102,301,4,89,6.888300538997529e+18,STAR,-8.507434e-05,6118,56189,163
20481,1.2376788804968128e+18,29.9247013552599,-2.28625185550073,23.56789,22.64726,21.10712,20.05235,19.28039,7778,301,3,516,8.828233238248183e+18,GALAXY,0.5974551,7841,56960,189
14892,1.237650371011609e+18,163.480930684605,-2.03477553955744,23.55203,22.65047,20.71855,19.77068,19.41026,1140,301,4,71,4.246958033941584e+18,GALAXY,0.5783747,3772,55277,231
11993,1.2376621945240292e+18,177.410044166191,42.1093351412446,21.1632,21.10754,21.06832,20.97505,20.83926,3893,301,3,137,9.436356636157696e+18,QSO,1.458173,8381,57512,689
91156,1.2376793228542612e+18,18.8214288515119,-5.13829435827185,25.7038,22.30434,20.86704,20.89336,21.14691,7881,301,3,147,8.910482761544129e+18,QSO,3.871221,7914,57331,403
99401,1.237662267540439e+18,235.291030049059,4.68333745284226,20.07273,17.93604,16.6135,16.04147,15.73628,3910,301,3,167,2.0671932623927644e+18,STAR,-0.0001330332,1836,54567,149
21518,1.2376677350372805e+18,164.186647038897,21.0421379507342,23.92821,22.51137,20.80404,19.75292,19.26563,5183,301,3,220,7.236170627195099e+18,GALAXY,0.5655212,6427,56328,43
78464,1.2376799982322982e+18,336.490523077149,-1.75556918918665,22.91644,22.12178,20.37901,19.57261,19.28719,8038,301,5,62,4.93160634210244e+18,GALAXY,0.4600103,4380,55857,599
80811,1.237661974941336e+18,195.955210031111,6.87418426670168,24.40842,20.63083,20.24954,20.04472,19.95022,3842,301,2,99,5.447278667050015e+18,QSO,3.25464,4838,55686,636
89405,1.2376612120483597e+18,228.073120558902,41.7308289253529,24.27496,22.20121,20.43735,19.3418,18.75557,3664,301,5,108,6.816202811107465e+18,GALAXY,0.5917557,6054,56089,17
66488,1.237668504365564e+18,246.469938626421,57.2361502403649,19.69679,17.56036,16.44408,15.99511,15.63488,5362,301,4,102,9.079427961334289e+18,GALAXY,0.1328681,8064,58255,622
31795,1.2376683331122637e+18,244.458712903378,9.78419090116549,25.24291,22.26399,20.52744,19.60634,19.32561,5322,301,5,232,5.86034017765506e+18,GALAXY,0.4613857,5205,56040,113
88031,1.237678859554456e+18,21.291020847153,12.3876054905127,25.39274,22.58239,20.80406,19.91283,19.54082,7773,301,4,449,5.257068380557695e+18,GALAXY,0.5469508,4669,55831,879
80232,1.2376543835923415e+18,148.955435515608,58.4334874846042,23.98451,22.56239,21.22471,19.81445,18.96188,2074,301,6,186,9.22565447228564e+18,STAR,1.611686e-05,8194,57401,111
4759,1.2376805077216138e+18,346.685331164385,32.8735524393124,23.96722,22.90394,22.01126,20.81828,19.85028,8157,301,2,44,1.3100995922124624e+19,STAR,-0.0001933865,11636,58462,89
76365,1.2376785964814833e+18,3.67125286331594,1.89073869912051,22.15295,21.39701,21.14593,21.35968,21.06958,7712,301,2,354,8.8417338671175e+18,QSO,2.647142,7853,56988,152
76428,1.237661384379269e+18,136.002781897999,32.1299978519582,21.71617,19.43381,17.95209,17.45554,17.13492,3704,301,6,37,6.540499450238097e+18,GALAXY,0.2539428,5809,56353,534
34929,1.2376583000563387e+18,125.051660354797,4.2561010087293,19.93482,18.60402,18.24978,18.10659,18.11883,2986,301,5,44,5.361643482187586e+18,STAR,0.0002263536,4762,55888,393
71197,1.2376794774754427e+18,12.6456719378048,22.1557311253752,19.84805,19.65941,19.69899,19.42407,19.34012,7917,301,3,183,8.57949841833829e+18,QSO,1.77315,7620,56904,513
23891,1.2376788584767823e+18,12.0702946623779,11.8866396163684,23.71119,24.60177,22.2097,20.5768,19.33946,7773,301,2,389,1.243221027794848e+19,STAR,5.623991e-05,11042,58462,85
18863,1.2376675498069855e+18,161.844933358564,22.5904576437174,21.41197,18.73882,17.6927,17.28486,17.05938,5140,301,2,70,7.235060120551709e+18,STAR,9.294359e-05,6426,56334,99
